goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position
1,1,0,31,77.5,9,39.13,7,87.5,22,,81.51,40,63.49,859,2,2,0,14,0,0,0,0,0,0,0,0,0,0,29,0,379,1,0,0,22,30.99,25,45,6,0,4,2,2,25,0,0,,0,0,0,Kolo Touré,Liverpool,534,44,DF
0,5,1,146,59.35,107,63.31,30,65.22,105,4,79.01,253,60.96,3387,12,35,17,38,0,0,0,0,0,0,0,0,0,0,309,1,1664,35,25,25,179,48.12,88,207,32,0,7,1,3,0,0,2,,0,2,0,Simon Francis,Bournemouth,15152,60,DF
0,3,0,94,68.12,53,63.86,23,74.19,46,,88.7,147,66.52,2779,26,11,11,33,0,0,0,0,0,0,0,0,0,0,122,4,1389,6,2,50,144,62.34,56,127,14,0,8,1,1,0,0,0,,3,1,0,John Stones,Everton,152077,48,DF
0,4,0,69,55.65,86,60.14,5,45.45,50,3,82.73,155,58.05,2448,14,17,12,28,0,0,0,0,0,0,0,0,0,0,438,3,1313,27,19,25.68,52,42.98,50,99,20,0,5,2,1,0,0,0,,0,0,0,Bacary Sagna,Manchester City,1053,17,DF
0,1,0,16,72.73,2,33.33,2,66.67,12,1,73.23,18,64.29,254,2,2,1,8,0,0,0,0,0,0,0,0,0,0,10,1,93,1,0,0,4,15.38,13,14,2,0,2,0,1,0,0,0,,0,0,0,Timothy Fosu-Mensah,Manchester United,795260,35,DF
1,4,1,68,57.14,93,66.91,9,100,45,,68.55,161,62.4,3059,16,32,12,34,0,0,0,0,0,0,0,0,0,0,102,1,582,7,0,0,99,40.24,96,170,9,0,7,3,1,14.29,1,2,,0,3,0,Gareth McAuley,West Bromwich Albion,13357,8,DF
4,2,0,143,58.61,14,46.67,46,70.77,85,3,77.2,157,57.3,2970,12,16,27,33,0,0,0,0,0,0,0,0,0,0,234,4,823,30,13,22.81,46,35.11,63,102,39,3,46,9,7,8.7,2,4,,0,0,0,Patrick van Aanholt,Sunderland,74577,41,DF
0,4,0,82,65.08,34,62.96,5,45.45,62,,79.4,116,64.44,1963,16,17,6,25,0,0,0,0,0,0,0,0,0,0,97,2,663,12,4,26.67,67,44.37,54,101,17,0,9,1,1,0,0,0,,2,0,0,James Tomkins,West Ham United,32124,37,DF
0,3,1,25,52.08,51,65.38,3,75,18,,75.44,76,60.32,1440,7,12,2,19,0,0,0,0,0,0,0,0,0,0,39,0,433,2,0,0,55,42.31,19,151,10,0,13,4,3,0,0,1,,0,1,0,James Collins,West Ham United,9729,37,DF
0,2,0,13,72.22,11,78.57,1,100,9,,78.74,24,75,284,4,4,0,5,0,0,0,0,0,0,0,0,0,0,3,0,100,1,0,0,5,27.78,6,29,1,0,2,0,0,0,1,0,,0,1,0,Kyle Bartley,Swansea City,40671,74,DF
