goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsOcnceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
0,5,0,36,47.37,14,66.67,7,50,14,0,80.56,50,51.55,960,16,14,7,12,0,0,0,0,0,0,0,0,0,0,139,2,460,19,22,35.48,27,40.91,11,22,12,0,3,0,0,0,0,0,,0,0,0,Ashley Young,Manchester United,10589,35,DF
0,0,1,36,46.15,26,54.17,3,33.33,31,0,90.66,62,49.21,1277,2,13,8,19,0,0,0,0,0,0,0,0,0,0,357,2,1097,21,13,25,32,61.54,17,19,15,0,16,3,7,0,0,1,,1,0,1,Oleksandr Zinchenko,Manchester City,287643,17,DF
4,1,0,100,58.14,133,57.83,28,58.33,55,3,74.86,233,57.96,2840,18,28,15,36,0,0,0,0,0,0,0,0,0,0,321,2,1105,21,7,15.56,47,47.47,40,47,14,10,35,16,9,11.43,1,3,,0,1,0,Matt Doherty,Wolverhampton,143047,3,DF
0,0,0,10,45.45,7,58.33,1,100,8,0,72.73,17,50,270,1,8,1,3,0,0,0,0,0,0,0,0,0,0,28,0,88,1,2,18.18,6,31.58,3,10,3,0,1,0,0,0,0,0,,0,0,0,Ben Johnson,West Ham United,914412,37,DF
1,6,0,39,58.21,96,65.75,4,80,29,0,86.49,135,63.38,3093,6,22,4,35,0,0,0,0,0,0,0,0,0,0,114,0,1811,4,0,0,75,39.47,26,122,3,0,6,1,1,16.67,0,0,,0,0,0,Victor Lindelöf,Manchester United,143334,35,DF
0,1,0,28,52.83,87,62.59,4,80,15,1,84.86,115,59.9,2168,12,14,4,25,0,0,0,0,0,0,0,0,0,0,61,1,852,3,0,0,73,51.77,18,111,8,2,21,5,8,0,0,0,,0,1,0,Gary Cahill,Crystal Palace,9628,7,DF
0,1,0,68,66.67,9,32.14,22,84.62,21,0,80.64,77,59.23,946,26,7,9,13,0,0,0,0,0,0,0,0,0,0,118,2,429,6,1,5.26,14,31.11,17,22,14,0,3,0,2,0,0,2,,0,2,0,Kyle Walker-Peters,Southampton,823085,45,DF
0,1,0,38,63.33,31,79.49,8,66.67,27,0,73.64,69,69.7,678,3,3,11,14,0,0,0,0,0,0,0,0,0,0,68,3,243,4,3,17.65,12,38.71,6,20,4,1,7,2,3,0,0,4,,0,0,0,Bernardo,Brighton & Hove Albion,828571,30,DF
1,2,0,44,68.75,9,37.5,12,80,20,1,78.46,53,60.23,999,12,8,5,15,0,0,0,0,0,0,0,0,0,0,83,1,346,6,8,18.18,18,37.5,9,30,4,0,6,2,1,16.67,0,0,,0,1,0,Kieran Tierney,Arsenal,366592,42,DF
0,0,0,13,52,39,54.93,5,83.33,8,1,81.27,52,54.17,1269,0,5,1,16,0,0,0,0,0,0,0,0,0,0,31,0,473,6,1,50,37,45.12,14,64,6,1,8,2,2,0,1,0,,0,0,1,Scott Dann,Crystal Palace,20278,7,DF
3,3,0,91,45.27,56,59.57,19,38,43,3,78.3,147,49.83,2375,30,29,22,27,0,0,0,0,0,0,0,0,0,0,355,5,1295,35,19,18.45,54,33.33,28,54,29,1,16,6,3,18.75,1,1,,0,2,1,Ben Chilwell,Leicester City,802695,31,DF
2,7,0,161,51.11,31,49.21,61,72.62,81,4,74.88,192,50.79,3346,19,39,43,38,0,0,0,0,0,0,0,0,0,0,408,9,1100,36,20,16.26,70,37.23,35,59,54,1,22,4,7,9.09,0,2,,2,1,2,Enda Stevens,Sheffield United,372324,15,DF
0,5,0,47,59.49,33,57.89,4,80,36,0,85.02,80,58.82,3420,7,17,0,38,0,0,0,0,0,0,0,0,0,0,115,1,1572,5,0,0,286,62.31,28,117,15,0,0,0,0,0,0,0,,2,0,0,Conor Coady,Wolverhampton,98449,3,DF
2,7,0,147,56.11,39,40.63,42,60,62,3,75.94,186,51.96,3420,44,47,22,38,0,0,0,0,0,0,0,0,0,0,377,2,849,23,37,28.91,22,19.3,34,69,20,0,13,5,3,15.38,0,11,,1,2,0,George Baldock,Sheffield United,112928,15,DF
0,0,0,16,64,14,60.87,2,100,10,0,78.71,30,62.5,505,4,4,1,6,0,0,0,0,0,0,0,0,0,0,31,0,196,2,1,16.67,14,34.15,8,22,5,0,0,0,0,0,0,1,,0,0,0,Jack Robinson,Sheffield United,98454,15,DF
2,6,0,42,48.84,102,68.92,3,75,29,0,77.48,144,61.54,2359,12,31,3,29,0,0,0,0,0,0,0,0,0,0,63,0,726,5,1,25,86,44.56,34,111,14,1,26,7,8,7.69,1,0,,0,0,0,Craig Dawson,Watford,50027,24,DF
1,5,0,35,51.47,74,60.16,4,66.67,14,0,79.81,109,57.07,2079,18,22,4,24,0,0,0,0,0,0,0,0,0,0,38,0,676,2,0,0,53,45.69,28,115,5,0,9,2,2,11.11,0,2,,1,0,0,Jamaal Lascelles,Newcastle United,153444,39,DF
1,2,0,28,56,70,72.92,3,75,18,0,80.66,98,67.12,1242,10,14,3,19,0,0,0,0,0,0,0,0,0,0,32,0,517,2,1,100,44,47.83,21,70,11,1,7,1,1,14.29,0,0,,0,0,0,Shane Duffy,Brighton & Hove Albion,55570,30,DF
1,3,0,38,47.5,100,74.07,9,69.23,21,0,73.47,138,64.19,1544,9,24,7,18,0,0,0,0,0,0,0,0,0,0,54,1,587,2,0,0,62,38.99,20,94,7,3,20,3,2,5,0,1,,1,3,0,Kortney Hause,Aston Villa,255189,40,DF
1,3,0,31,51.67,81,73.64,3,60,19,0,77.13,112,65.88,1497,9,9,1,19,0,0,0,0,0,0,0,0,0,0,72,1,634,6,1,100,42,35,26,97,17,0,12,5,2,8.33,1,0,,0,2,0,Jannik Vestergaard,Southampton,120538,45,DF
2,4,0,57,61.96,102,62.2,5,100,38,0,76.15,159,62.11,2787,14,22,2,31,0,0,0,0,0,0,0,0,0,0,56,0,744,2,1,50,76,38.38,27,130,14,1,13,4,1,15.38,0,0,,0,1,0,Angelo Ogbonna,West Ham United,21164,37,DF
0,6,0,64,53.78,53,53.54,8,80,44,0,85.88,117,53.67,2431,12,27,6,29,0,0,0,0,0,0,0,0,0,0,59,0,1326,1,0,0,64,36.78,34,121,22,1,7,3,0,0,0,1,,0,5,0,Davinson Sánchez,Tottenham Hotspur,566102,33,DF
0,3,0,86,56.95,45,60,19,47.5,39,1,68.72,131,57.96,1946,28,17,11,24,0,0,0,0,0,0,0,0,0,0,103,1,490,12,20,22.73,34,24.82,29,62,20,0,1,0,0,0,0,2,,1,0,0,Charlie Taylor,Burnley,166381,6,DF
