goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Position
1,2,0,67,63.21,102,75.56,1,33.33,44,0,83.13,169,70.12,2899,22,22,1,33,0,0,0,0,0,0,0,0,0,0,38,0,1089,6,0,0,68,43.87,56,173,17,2,20,4,3,5,2,2,,0,2,0,Grant Hanley,Norwich City,95791,263,DF
1,0,0,43,61.43,12,34.29,9,39.13,18,3,82.52,55,52.38,1918,16,5,8,22,0,0,0,0,0,0,0,0,0,0,242,0,746,20,16,20.25,44,38.6,15,49,1,0,15,5,5,6.67,2,1,,0,0,0,Kieran Tierney,Arsenal,366592,42,DF
0,8,1,100,57.47,101,62.35,13,81.25,80,0,77.94,201,59.82,2972,7,38,10,34,0,0,0,0,0,0,0,0,0,0,199,1,1357,9,2,15.38,90,35.86,78,150,25,4,24,10,5,0,0,2,,2,2,0,Mohammed Salisu,Southampton,946158,45,DF
1,6,0,125,56.82,57,66.28,16,50,73,1,79.68,182,59.48,2881,38,39,9,34,0,0,0,0,0,0,0,0,0,0,252,3,1263,18,8,19.05,64,36.36,45,85,32,1,12,3,6,8.33,0,0,,0,0,1,Joël Veltman,Brighton & Hove Albion,219572,30,DF
2,4,0,83,50,31,58.49,19,41.3,40,3,78.73,114,52.05,1929,24,22,13,25,0,0,0,0,0,0,0,0,0,0,174,5,607,29,25,29.76,22,38.6,31,39,21,3,21,9,7,9.52,0,1,,0,1,0,Sergio Reguilón,Tottenham Hotspur,858195,33,DF
0,4,0,45,52.94,56,53.85,7,77.78,30,3,81.58,101,53.44,2915,8,19,8,34,0,0,0,0,0,0,0,0,0,0,186,2,1904,21,2,25,253,48.37,37,123,11,0,8,3,1,0,0,1,,1,2,1,Joachim Andersen,Crystal Palace,362682,7,DF
2,5,0,40,61.54,56,77.78,10,83.33,26,0,80.99,96,70.07,1438,4,16,1,22,0,0,0,0,0,0,0,0,0,0,153,0,933,1,1,16.67,67,42.14,17,62,7,1,8,3,1,25,0,0,,0,2,0,Adam Webster,Brighton & Hove Albion,216308,30,DF
1,7,1,57,59.38,75,72.82,4,80,34,0,86.37,132,66.33,2514,19,21,5,30,0,0,0,0,0,0,0,0,0,0,171,0,1350,4,0,0,120,54.05,32,100,12,2,23,10,4,4.35,2,1,,1,2,0,Harry Maguire,Manchester United,149380,35,DF
1,11,0,56,58.95,83,63.85,11,91.67,23,3,79.63,139,61.78,3188,24,27,4,36,0,0,0,0,0,0,0,0,0,0,129,2,1321,10,0,0,100,35.84,46,150,8,0,21,5,5,4.76,0,1,,1,1,0,Tyrone Mings,Aston Villa,303638,40,DF
0,2,0,98,62.42,19,37.25,36,59.02,49,0,81,117,56.25,1794,13,15,13,20,0,0,0,0,0,0,0,0,0,0,213,1,759,14,8,22.86,17,38.64,34,32,6,0,5,1,3,0,0,1,,0,2,0,Aaron Wan-Bissaka,Manchester United,863653,35,DF
2,4,0,33,45.21,45,51.72,6,60,16,2,69.57,78,48.75,2161,11,24,5,25,0,0,0,0,0,0,0,0,0,0,113,4,686,10,1,14.29,127,40.84,32,95,8,0,21,8,5,9.52,0,3,,0,2,1,Fabian Schär,Newcastle United,101882,39,DF
1,1,0,24,54.55,28,51.85,0,0,21,0,82.68,52,53.06,1009,3,14,2,13,0,0,0,0,0,0,0,0,0,0,51,0,463,4,2,40,35,42.17,5,49,3,0,5,1,2,20,0,0,,0,0,1,Calum Chambers,Aston Villa,227942,40,DF
0,1,0,19,73.08,13,56.52,5,83.33,11,0,75.62,32,65.31,360,3,2,2,4,0,0,0,0,0,0,0,0,0,0,17,0,152,0,0,0,6,21.43,8,14,2,0,1,0,1,0,0,1,,0,0,0,Toti Gomes,Wolverhampton,973418,3,DF
0,2,0,15,50,13,65,0,0,14,0,88.22,28,56,555,1,8,2,8,0,0,0,0,0,0,0,0,0,0,58,1,412,3,1,25,14,45.16,11,19,5,0,1,0,0,0,0,0,,0,0,0,Malang Sarr,Chelsea,826203,38,DF
1,5,0,152,55.88,32,48.48,29,67.44,93,1,78.85,184,54.44,2922,30,33,25,34,0,0,0,0,0,0,0,0,0,0,285,5,1066,31,25,24.75,56,38.36,57,56,49,1,30,9,12,3.33,2,2,,1,1,0,Stuart Dallas,Leeds United,78454,34,DF
3,2,1,59,62.77,97,62.18,7,87.5,46,2,76.55,156,62.4,2792,7,16,2,32,0,0,0,0,0,0,0,0,0,0,99,2,927,8,0,0,125,49.02,62,128,17,1,20,6,4,15,0,1,,2,0,0,Michael Keane,Everton,110846,48,DF
1,2,0,55,69.62,13,43.33,6,50,20,1,72.91,68,62.39,1691,29,7,6,21,0,0,0,0,0,0,0,0,0,0,132,2,471,13,6,20.69,24,25.81,22,52,5,0,6,4,0,16.67,2,1,,0,1,0,Connor Roberts,Burnley,804613,6,DF
1,1,0,44,60.27,15,44.12,7,70,33,0,70.82,59,55.14,1398,4,10,9,20,0,0,0,0,0,0,0,0,0,0,102,1,398,9,14,25.45,35,30.17,22,49,7,0,5,1,0,20,0,0,,0,0,0,Ben Johnson,West Ham United,914412,37,DF
1,3,0,64,62.14,15,51.72,11,57.89,37,3,79,79,59.85,992,16,6,6,14,0,0,0,0,0,0,0,0,0,0,97,2,425,10,2,14.29,11,32.35,17,29,19,0,10,2,4,10,1,0,,0,0,0,Ricardo Pereira,Leicester City,221200,31,DF
0,2,0,57,56.44,47,54.02,9,60,35,1,81.11,104,55.32,1682,13,16,12,21,0,0,0,0,0,0,0,0,0,0,210,1,747,13,13,41.94,36,43.9,24,55,11,0,11,2,2,0,0,0,,0,2,0,Takehiro Tomiyasu,Arsenal,804434,42,DF
0,8,0,44,42.31,20,57.14,7,50,21,3,84.09,64,46.04,1602,16,32,14,20,0,0,0,0,0,0,0,0,0,0,248,5,777,39,29,26.61,31,51.67,9,17,9,0,6,1,1,0,0,3,,1,1,0,Luke Shaw,Manchester United,190839,35,DF
