goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,position,,,
0,2,0,28,50,27,43.55,0,0,22,0,85.17,55,46.61,975,7,17,0,11,0,0,0,0,0,0,0,0,0,0,44,0,448,0,0,0,42,54.55,17,68,12,0,2,1,0,0,0,1,,0,0,0,Bernardo Espinosa,Middlesbrough,139919,36,DF,,,
0,0,0,47,55.29,46,63.01,7,87.5,26,1,79.47,93,58.86,1539,14,10,4,23,0,0,0,0,0,0,0,0,0,0,58,2,631,4,0,0,89,48.63,31,111,25,1,12,2,2,0,0,1,,0,1,0,Ramiro Funes Mori,Everton,252313,48,DF,,,
1,4,0,50,60.98,77,63.64,14,82.35,30,0,68.87,127,62.56,2545,9,14,8,30,0,0,0,0,0,0,0,0,0,0,65,1,542,2,0,0,52,29.55,44,199,7,2,17,4,5,5.88,0,2,,0,1,0,Lamine Koné,Sunderland,51444,41,DF,,,
1,6,2,57,48.31,86,65.65,4,57.14,34,2,68.68,143,57.43,2283,24,36,5,27,0,0,0,0,0,0,0,0,0,0,92,2,704,7,2,16.67,94,35.47,49,144,21,2,18,5,5,5.56,0,2,,0,2,0,Miguel Britos,Watford,33302,24,DF,,,
0,0,0,5,41.67,1,25,0,0,5,0,80.49,6,37.5,96,0,3,0,4,0,0,0,0,0,0,0,0,0,0,5,0,33,0,0,0,0,0,2,4,2,0,1,0,1,0,0,0,,0,0,0,Timothy Fosu-Mensah,Manchester United,795260,35,DF,,,
0,1,0,35,55.56,29,42.65,8,100,22,1,83.95,64,48.85,1469,5,15,3,17,0,0,0,0,0,0,0,0,0,0,50,1,612,4,0,0,25,30.86,24,79,11,0,4,0,1,0,0,1,,0,0,0,Jack Stephens,Southampton,134361,45,DF,,,
1,2,0,61,57.55,30,42.86,9,81.82,44,0,85.21,91,51.7,2125,8,12,8,25,0,0,0,0,0,0,0,0,0,0,324,1,1239,16,7,26.92,44,35.77,53,86,24,0,2,1,0,50,0,1,,0,0,0,Gaël Clichy,Manchester City,532,17,DF,,,
1,10,1,59,52.21,62,63.27,2,66.67,36,1,76.36,121,57.35,2771,24,44,1,33,0,0,0,0,0,0,0,0,0,0,78,1,817,10,0,0,111,44.76,52,183,11,0,22,7,4,4.55,1,0,,2,3,0,Sebastian Prödl,Watford,15038,24,DF,,,
0,2,0,35,62.5,44,70.97,4,66.67,27,0,81.24,79,66.95,1755,4,13,5,20,0,0,0,0,0,0,0,0,0,0,74,0,654,6,1,25,51,40.16,37,96,3,0,3,1,2,0,0,0,,1,0,0,Angelo Ogbonna,West Ham United,21164,37,DF,,,
0,2,0,34,72.34,39,57.35,3,75,23,1,88.69,73,63.48,1345,8,3,3,17,0,0,0,0,0,0,0,0,0,0,169,1,737,8,3,11.54,22,41.51,20,48,7,0,4,1,1,0,0,1,,0,1,0,Bacary Sagna,Manchester City,1053,17,DF,,,
